Muscle Group;Exercise ;Equipment Required ;Force Type ;Experience Level ;Link
 Forearms ;Reverse Grip Cable Curl;Cable;Pull;Beginner;https://www.muscleandstrength.com/exercises/reverse-cable-curl.html?_gl=1*1wgv91y*_up*MQ..*_ga*MzExMzg2OTIyLjE3NjM0NjMzNDg.*_ga_EHWPJCEX93*czE3NjM0NjMzNDgkbzEkZzEkdDE3NjM0NjMzNTUkajUzJGwwJGgw
 Forearms ;Dumbbell Wrist Curl;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-wrist-curl-over-bench.html?_gl=1*15bw0bd*_up*MQ..*_ga*MzExMzg2OTIyLjE3NjM0NjMzNDg.*_ga_EHWPJCEX93*czE3NjM0NjMzNDgkbzEkZzEkdDE3NjM0NjM0MDAkajgkbDAkaDA.
 Forearms ;Reverse Grip Dumbbell Wrist Curl;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/reverse-dumbbell-wrist-curl-over-bench.html?_gl=1*1nnr4ma*_up*MQ..*_ga*MzExMzg2OTIyLjE3NjM0NjMzNDg.*_ga_EHWPJCEX93*czE3NjM0NjMzNDgkbzEkZzEkdDE3NjM0NjM0MzAkajYwJGwwJGgw
 Forearms ;Behind-The-Back Cable Wrist Curl;Cable;Pull;Beginner;https://www.muscleandstrength.com/exercises/standing-cable-wrist-curl-(behind-back).html?_gl=1*1rdcv9o*_up*MQ..*_ga*MzExMzg2OTIyLjE3NjM0NjMzNDg.*_ga_EHWPJCEX93*czE3NjM0NjMzNDgkbzEkZzEkdDE3NjM0NjM0NTUkajYwJGwwJGgw
 Forearms ;Seated Barbell Wrist Curl;Barbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/barbell-wrist-curl.html?_gl=1*ix6b9x*_up*MQ..*_ga*MTkzNjc2MjQzNC4xNzYzNDYzNDk0*_ga_EHWPJCEX93*czE3NjM0NjM0OTMkbzEkZzAkdDE3NjM0NjM0OTMkajYwJGwwJGgw
Abs;Lying Floor Leg Raise;Bodyweight;Abs;Beginner;https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html?_gl=1*bhcb86*_up*MQ..*_ga*MTAxNzcyNTI5NC4xNzYzNDYzNTkx*_ga_EHWPJCEX93*czE3NjM0NjM1OTEkbzEkZzEkdDE3NjM0NjM1OTMkajU4JGwwJGgw
Abs;Cable Crunch;Cable;Abs;Beginner;https://www.muscleandstrength.com/exercises/cable-crunch.html?_gl=1*1paeyq2*_up*MQ..*_ga*MTAxNzcyNTI5NC4xNzYzNDYzNTkx*_ga_EHWPJCEX93*czE3NjM0NjM1OTEkbzEkZzEkdDE3NjM0NjM2NDQkajckbDAkaDA.
Abs;Weighted Crunch;Weight plate ;Abs;Intermediate;https://www.muscleandstrength.com/exercises/weighted-crunch.html?_gl=1*1bkxvxn*_up*MQ..*_ga*MTAxNzcyNTI5NC4xNzYzNDYzNTkx*_ga_EHWPJCEX93*czE3NjM0NjM1OTEkbzEkZzEkdDE3NjM0NjM2NjkkajYwJGwwJGgw
Abs;Hanging Leg Raise;Bodyweight;Abs;Advanced;https://www.muscleandstrength.com/exercises/hanging-leg-raise.html?_gl=1*70etge*_up*MQ..*_ga*MTAxNzcyNTI5NC4xNzYzNDYzNTkx*_ga_EHWPJCEX93*czE3NjM0NjM1OTEkbzEkZzEkdDE3NjM0NjM3MDQkajYwJGwwJGgw
Abs;Sit Up;Bodyweight;Abs;Beginner;https://www.muscleandstrength.com/exercises/sit-up.html?_gl=1*petyi0*_up*MQ..*_ga*MTY0MzM4Njk1MC4xNzYzNDYzNzMz*_ga_EHWPJCEX93*czE3NjM0NjM3MzIkbzEkZzAkdDE3NjM0NjM3MzIkajYwJGwwJGgw
Abs;Hanging Knee Raise;Bodyweight;Abs;Intermediate;https://www.muscleandstrength.com/exercises/hanging-knee-raise.html?_gl=1*x30bva*_up*MQ..*_ga*MTA4MDY3MTE0My4xNzYzNDYzNzY0*_ga_EHWPJCEX93*czE3NjM0NjM3NjMkbzEkZzAkdDE3NjM0NjM3NjMkajYwJGwwJGgw
Abs;Decline Bench Sit Up ;Bodyweight;Abs;Beginner;https://www.muscleandstrength.com/exercises/decline-situp.html?_gl=1*1wgkmm1*_up*MQ..*_ga*MjM1Mzc4MDU4LjE3NjM0NjM3ODQ.*_ga_EHWPJCEX93*czE3NjM0NjM3ODQkbzEkZzAkdDE3NjM0NjM3ODQkajYwJGwwJGgw
Abs;Russian Twist;Bodyweight;Abs;Beginner;https://www.muscleandstrength.com/exercises/russian-twist.html?_gl=1*1c7wo1i*_up*MQ..*_ga*MTE0MDk5NTQwMS4xNzYzNDYzODA3*_ga_EHWPJCEX93*czE3NjM0NjM4MDckbzEkZzAkdDE3NjM0NjM4MDckajYwJGwwJGgw
Shoulders ;Dumbbell Lateral Raise;Dumbbell;Push ;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-lateral-raise.html?_gl=1*2d1r60*_up*MQ..*_ga*MjYzNzIxMTU1LjE3NjM0NjM4NzY.*_ga_EHWPJCEX93*czE3NjM0NjM4NzUkbzEkZzEkdDE3NjM0NjM4NzkkajU2JGwwJGgw
Shoulders ;Military Press (AKA Overhead Press);Barbell;Push ;Intermediate;https://www.muscleandstrength.com/exercises/military-press.html?_gl=1*xh8290*_up*MQ..*_ga*MjYzNzIxMTU1LjE3NjM0NjM4NzY.*_ga_EHWPJCEX93*czE3NjM0NjM4NzUkbzEkZzEkdDE3NjM0NjM5MjkkajYkbDAkaDA.
Shoulders ;Seated Dumbbell Press;Dumbbell;Push ;Beginner;https://www.muscleandstrength.com/exercises/seated-dumbbell-press.html?_gl=1*188wiga*_up*MQ..*_ga*MjYzNzIxMTU1LjE3NjM0NjM4NzY.*_ga_EHWPJCEX93*czE3NjM0NjM4NzUkbzEkZzEkdDE3NjM0NjM5NjIkajYwJGwwJGgw
Shoulders ;Bent Over Dumbbell Reverse ;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/bent-over-dumbbell-reverse-fly.html?_gl=1*muktag*_up*MQ..*_ga*MjYzNzIxMTU1LjE3NjM0NjM4NzY.*_ga_EHWPJCEX93*czE3NjM0NjM4NzUkbzEkZzEkdDE3NjM0NjM5ODgkajYwJGwwJGgw
Shoulders ;Seated Dumbbell Lateral Raise;Dumbbell;Push ;Beginner;https://www.muscleandstrength.com/exercises/seated-dumbbell-lateral-raise.html?_gl=1*8mt0kr*_up*MQ..*_ga*MjYzNzIxMTU1LjE3NjM0NjM4NzY.*_ga_EHWPJCEX93*czE3NjM0NjM4NzUkbzEkZzEkdDE3NjM0NjQwMTAkajYwJGwwJGgw
Shoulders ;Cable Face Pull;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/cable-face-pull?_gl=1*1t4gc49*_up*MQ..*_ga*NzMyNzE0NzM0LjE3NjM0NjQwMzM.*_ga_EHWPJCEX93*czE3NjM0NjQwMzIkbzEkZzAkdDE3NjM0NjQwMzIkajYwJGwwJGgw
Quads ;Barbell Back Squat;Barbell;Legs;Intermediate;https://www.muscleandstrength.com/exercises/squat.html?_gl=1*nex7ib*_up*MQ..*_ga*MzIyNTEyNDcwLjE3NjM0NjQxNDU.*_ga_EHWPJCEX93*czE3NjM0NjQxNDUkbzEkZzEkdDE3NjM0NjQxNDckajU4JGwwJGgw
Quads ;Dumbbell Goblet Squat;Dumbell ;Legs;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-goblet-squat?_gl=1*fr2klh*_up*MQ..*_ga*MzIyNTEyNDcwLjE3NjM0NjQxNDU.*_ga_EHWPJCEX93*czE3NjM0NjQxNDUkbzEkZzEkdDE3NjM0NjQzMDkkajYwJGwwJGgw
Quads ;Leg Extension;Machine;Legs;Beginner;https://www.muscleandstrength.com/exercises/leg-extension.html?_gl=1*zh045i*_up*MQ..*_ga*Mzk2MjIzNzY4LjE3NjM0NjQzNDM.*_ga_EHWPJCEX93*czE3NjM0NjQzNDMkbzEkZzAkdDE3NjM0NjQzNDMkajYwJGwwJGgw
Quads ;Leg Press;Machine;Legs;Beginner;https://www.muscleandstrength.com/exercises/45-degree-leg-press.html?_gl=1*3pfuxk*_up*MQ..*_ga*MTY4OTA3NTk4LjE3NjM0NjQzNjc.*_ga_EHWPJCEX93*czE3NjM0NjQzNjYkbzEkZzAkdDE3NjM0NjQzNjYkajYwJGwwJGgw
